caseid,sex,total_children,age,age_at_first_birth,religion_importance,income_family,occupation,education,partner_education,partner_sex,region,pop_center,decade_first_birth,age_group,age_at_first_birth_group,child,education_level,partner_education_level
1,Female,1,52.7,25.9,Somewhat important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,Trade certificate or diploma,No Partner,Quebec,Larger urban population centres (CMA/CA),1980,50,25,1,HS or less,College / Trade
3,Female,5,63.6,23.2,Very important,"$75,000 to $99,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Ontario,Rural areas and small population centres (non CMA/CA),1960,60,20,1,University Undergraduate,HS or less
4,Female,1,80,27.3,Not at all important,"$100,000 to $ 124,999",NA,High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Prairie region,Larger urban population centres (CMA/CA),NA,80,25,1,HS or less,HS or less
6,Female,2,63,25.8,Very important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,"College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),1970,60,25,1,HS or less,College / Trade
7,Female,2,58.8,18.3,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1960,55,15,1,HS or less,NA
8,Female,7,80,22.9,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,80,20,1,HS or less,NA
9,Female,0,63.8,NA,Very important,"Less than $25,000","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,60,NA,0,HS or less,NA
12,Female,0,40.3,NA,Not at all important,"$25,000 to $49,999",Management occupations,University certificate or diploma below the bachelor's level,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),NA,40,NA,0,University Undergraduate,NA
13,Female,4,56.8,NA,Very important,"$75,000 to $99,999",Sales and service occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Atlantic region,Prince Edward Island,NA,55,NA,1,HS or less,HS or less
14,Female,2,26.8,18.8,Not very important,"$75,000 to $99,999",Sales and service occupations,Trade certificate or diploma,Less than high school diploma or its equivalent,Male,Quebec,Rural areas and small population centres (non CMA/CA),2000,25,15,1,College / Trade,HS or less
